"PVWatts: Hourly PV Performance Data"
"Requested Location:","140 Gulf St Milford CT"
"Location:","Lat, Lon: 41.21, -73.06"
"Lat (deg N):","41.21"
"Long (deg W):","73.06"
"Elev (m):","24.272727966309"
"DC System Size (kW):","52.6"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","182"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.159"
"Capacity Factor (%)","14.8"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","9","11","0","31","3","1","29.458","1.399","1479.003","1183.272"
"3","9","12","0","63","3","2","59.92","2.588","2993.267","2667.909"
"3","9","13","52","280","3","3","334.507","9.592","16206.198","15553.547"
"3","9","14","27","215","3","3","232.108","7.828","11326.765","10809.352"
"3","9","15","0","71","3","2","67.447","3.585","3355.003","3022.328"
"3","9","16","0","75","2","2","72.531","2.089","3630.956","3292.636"
"3","9","17","0","11","1","2","10.411","-0.69","527.311","249.371"
"3","9","18","0","0","0","2","0","0","0","0"
"3","9","19","0","0","0","2","0","0","0","0"
"3","9","20","0","0","0","2","0","0","0","0"
"3","9","21","0","0","0","2","0","0","0","0"
"3","9","22","0","0","0","2","0","0","0","0"
"3","9","23","0","0","-1","2","0","-1","0","0"
"3","10","0","0","0","0","1","0","0","0","0"
"3","10","1","0","0","0","1","0","0","0","0"
"3","10","2","0","0","0","1","0","0","0","0"
"3","10","3","0","0","0","1","0","0","0","0"
"3","10","4","0","0","-1","2","0","-1","0","0"
"3","10","5","0","0","0","2","0","0","0","0"
"3","10","6","0","24","0","2","22.919","-1.583","1165.22","875.426"
"3","10","7","572","61","2","1","251.212","7.959","10812.534","10308.394"
"3","10","8","351","149","3","1","346.626","13.339","16121.354","15471.199"
"3","10","9","677","127","4","1","630.032","23.632","28383.859","27320.277"
"3","10","10","403","262","4","0","625.041","30.439","27473.877","26444.625"
"3","10","11","772","169","4","0","901.333","39.08","38001.297","36539.094"
"3","10","12","406","292","4","1","693.696","28.097","30875.477","29714.898"
"3","10","13","132","308","4","1","444.058","19.642","20559.293","19771.787"
"3","10","14","56","236","3","1","284.24","12.363","13589.369","13011.339"
"3","10","15","64","172","3","1","211.936","9.122","10229.873","9740.546"
"3","10","16","0","71","2","1","68.352","2.845","3410.741","3076.93"
"3","10","17","0","12","2","1","11.359","-0.028","573.753","294.96"
"3","10","18","0","0","1","1","0","1","0","0"
"3","10","19","0","0","1","1","0","1","0","0"
"3","10","20","0","0","2","1","0","2","0","0"
"3","10","21","0","0","2","2","0","2","0","0"
"3","10","22","0","0","2","2","0","2","0","0"
"3","10","23","0","0","2","2","0","2","0","0"
"3","11","0","0","0","2","2","0","2","0","0"
"3","11","1","0","0","2","2","0","2","0","0"
"3","11","2","0","0","2","2","0","2","0","0"
"3","11","3","0","0","3","2","0","3","0","0"
"3","11","4","0","0","3","3","0","3","0","0"
"3","11","5","0","0","3","2","0","3","0","0"
"3","11","6","0","1","4","2","0.944","1.839","47.33","0"
"3","11","7","59","91","4","3","109.762","4.839","5280.441","4907.26"
"3","11","8","19","153","5","3","159.732","7.4","7794.049","7364.046"
"3","11","9","0","21","6","3","19.924","5.055","984.852","698.439"
"3","11","10","0","13","7","3","12.342","5.482","608.95","329.509"
"3","11","11","0","43","7","3","40.878","6.175","2010.918","1704.965"
"3","11","12","0","60","7","3","57.067","6.66","2801.38","2479.866"
"3","11","13","0","139","8","2","133.736","9.838","6474.773","6075.15"
"3","11","14","27","217","8","2","233.933","12.913","11163.752","10650.566"
"3","11","15","57","173","8","2","208.898","12.581","9937.121","9455.146"
"3","11","16","0","49","8","2","46.501","7.942","2270.061","1959.055"
"3","11","17","0","8","8","2","7.567","6.23","372.129","97.029"
"3","11","18","0","0","8","2","0","8","0","0"
"3","11","19","0","0","7","2","0","7","0","0"
"3","11","20","0","0","6","3","0","6","0","0"
"3","11","21","0","0","4","4","0","4","0","0"
"3","11","22","0","0","3","4","0","3","0","0"
"3","11","23","0","0","2","4","0","2","0","0"
"3","12","0","0","0","1","4","0","1","0","0"
"3","12","1","0","0","0","4","0","0","0","0"
"3","12","2","0","0","0","5","0","0","0","0"
"3","12","3","0","0","0","4","0","0","0","0"
"3","12","4","0","0","-1","4","0","-1","0","0"
"3","12","5","0","0","-2","4","0","-2","0","0"
"3","12","6","6","20","-1","4","19.919","-2.263","997.85","711.194"
"3","12","7","0","14","0","4","13.252","-1.38","673.155","392.53"
"3","12","8","771","92","0","4","522.346","9.997","24403.473","23485.74"
"3","12","9","858","105","0","3","736.786","17.655","34109.234","32816.227"
"3","12","10","694","163","1","3","778.118","20.161","35878.383","34509.797"
"3","12","11","630","210","2","3","821.135","22.242","37561.156","36118.625"
"3","12","12","661","199","2","3","841.615","22.833","38394.48","36914.59"
"3","12","13","623","191","3","2","759.695","24.554","34341.426","33038.621"
"3","12","14","698","126","2","2","667.195","20.915","30505.621","29359.719"
"3","12","15","447","141","1","2","414.696","12.882","19383.318","18633.564"
"3","12","16","304","88","0","2","208.994","5.297","9630.952","9156.6"
"3","12","17","65","27","0","2","39.101","-0.334","1773.118","1471.759"
"3","12","18","0","0","0","3","0","0","0","0"
"3","12","19","0","0","0","3","0","0","0","0"
"3","12","20","0","0","-1","3","0","-1","0","0"
"3","12","21","0","0","-2","3","0","-2","0","0"
"3","12","22","0","0","-2","3","0","-2","0","0"
"3","12","23","0","0","-2","3","0","-2","0","0"
"3","13","0","0","0","-2","3","0","-2","0","0"
"3","13","1","0","0","-2","3","0","-2","0","0"
"3","13","2","0","0","-3","3","0","-3","0","0"
"3","13","3","0","0","-3","3","0","-3","0","0"
"3","13","4","0","0","-3","3","0","-3","0","0"
"3","13","5","0","0","-3","3","0","-3","0","0"
"3","13","6","0","15","-2","2","14.208","-3.742","728.858","447.204"
"3","13","7","61","95","-1","2","114.615","0.076","5631.225","5250.382"
"3","13","8","733","101","0","1","514.195","15.059","23530.785","22643.533"
"3","13","9","839","110","0","1","731.429","23.694","32944.93","31700.453"
"3","13","10","603","197","0","1","739.834","24.954","33371.578","32109.43"
"3","13","11","584","228","1","1","796.524","27.58","35535.625","34181.852"
"3","13","12","639","209","2","1","833.702","29.834","36796.668","35387.977"
"3","13","13","576","208","2","1","735.033","27.138","32828.309","31588.643"
"3","13","14","849","106","1","1","755.243","26.354","33650.91","32377.119"
"3","13","15","510","130","0","1","439.228","15.994","20215.773","19439.396"
"3","13","16","586","71","0","1","294.941","9.764","12987.56","12426.006"
"3","13","17","198","28","-1","1","61.023","0.099","2459.828","2145.092"
"3","13","18","0","0","-1","2","0","-1","0","0"
"3","13","19","0","0","-1","2","0","-1","0","0"
"3","13","20","0","0","-1","2","0","-1","0","0"
"3","13","21","0","0","-1","1","0","-1","0","0"
"3","13","22","0","0","-1","1","0","-1","0","0"
"3","13","23","0","0","-1","1","0","-1","0","0"
"3","14","0","0","0","-1","1","0","-1","0","0"
"3","14","1","0","0","0","1","0","0","0","0"
"3","14","2","0","0","0","1","0","0","0","0"
"3","14","3","0","0","0","1","0","0","0","0"
"3","14","4","0","0","0","1","0","0","0","0"
"3","14","5","0","0","0","0","0","0","0","0"
"3","14","6","0","10","0","0","9.462","-3.325","484.554","207.399"
"3","14","7","69","98","1","0","120.41","2.632","5841.643","5456.163"
"3","14","8","107","181","2","0","247.011","10.897","11787.329","11257.871"
"3","14","9","528","183","4","0","587.938","26.55","26187.49","25205.771"
"3","14","10","600","201","5","0","743.248","34.866","31967.152","30762.693"
"3","14","11","564","239","6","0","791.824","38.236","33536.965","32267.928"
"3","14","12","588","231","6","0","808.208","39.025","34097.02","32804.523"
"3","14","13","549","220","6","1","726.104","30.487","31917.365","30714.928"
"3","14","14","693","131","6","1","671.446","28.52","29632.93","28521.271"
"3","14","15","356","162","5","1","379.46","18.492","17348.957","16662.201"
"3","14","16","464","74","3","1","254.656","11.055","11247.161","10731.815"
"3","14","17","109","29","2","2","47.03","2.083","2015.902","1709.852"
"3","14","18","0","0","2","2","0","2","0","0"
"3","14","19","0","0","2","2","0","2","0","0"
"3","14","20","0","0","1","2","0","1","0","0"
"3","14","21","0","0","1","2","0","1","0","0"
"3","14","22","0","0","1","2","0","1","0","0"
"3","14","23","0","0","1","2","0","1","0","0"
"3","15","0","0","0","1","2","0","1","0","0"
"3","15","1","0","0","1","2","0","1","0","0"
"3","15","2","0","0","1","2","0","1","0","0"
"3","15","3","0","0","0","1","0","0","0","0"
"3","15","4","0","0","0","1","0","0","0","0"
"3","15","5","0","0","0","1","0","0","0","0"
"3","15","6","0","18","1","0","17.058","-2.121","869.171","584.914"
"3","15","7","59","100","3","0","119.217","4.721","5756.858","5373.251"
"3","15","8","189","183","5","0","294.017","15.711","13670.746","13090.469"
"3","15","9","20","213","7","0","223.288","16.633","10480.728","9985.052"
"3","15","10","404","275","8","0","645.163","32.098","28141.707","27087.318"
"3","15","11","433","294","9","1","732.696","32.764","31888.324","30687.063"
"3","15","12","333","326","9","0","668.07","37.07","28468.193","27401.4"
"3","15","13","255","313","10","0","565.594","34.345","24415.703","23497.539"
"3","15","14","395","227","9","1","542.184","26.787","24178.635","23268.807"
"3","15","15","362","163","8","1","384.31","20.89","17380.064","16692.367"
"3","15","16","479","87","6","1","272.235","14.591","11877.474","11345.64"
"3","15","17","141","31","4","1","55.449","4.771","2311.869","2000.043"
"3","15","18","0","0","2","1","0","2","0","0"
"3","15","19","0","0","2","1","0","2","0","0"
"3","15","20","0","0","2","1","0","2","0","0"
"3","15","21","0","0","1","0","0","1","0","0"
"3","15","22","0","0","1","0","0","1","0","0"
"3","15","23","0","0","1","1","0","1","0","0"
"3","16","0","0","0","1","1","0","1","0","0"
"3","16","1","0","0","0","1","0","0","0","0"
"3","16","2","0","0","0","1","0","0","0","0"
"3","16","3","0","0","0","1","0","0","0","0"
"3","16","4","0","0","0","1","0","0","0","0"
"3","16","5","0","0","0","2","0","0","0","0"
"3","16","6","0","20","1","2","18.959","-0.51","959.559","673.618"
"3","16","7","577","60","3","2","263.687","8.331","11472.868","10951.651"
"3","16","8","593","113","5","2","457.399","16.521","20889.537","20091.254"
"3","16","9","440","215","6","2","561.379","20.949","25699.16","24735.18"
"3","16","10","463","257","6","2","686.752","24.598","31046.367","29878.975"
"3","16","11","450","288","7","2","742.886","27.423","33174.703","31920.727"
"3","16","12","148","354","7","2","517.45","21.714","23741.439","22846.879"
"3","16","13","47","290","6","2","339.723","15.199","16056.147","15407.906"
"3","16","14","92","260","6","2","336.15","14.474","15914.602","15270.506"
"3","16","15","112","189","5","2","263.048","11.463","12540.85","11991.36"
"3","16","16","0","84","4","2","81.074","5.096","4006.815","3660.721"
"3","16","17","0","17","3","2","16.104","1.53","808.11","524.987"
"3","16","18","0","0","2","2","0","2","0","0"
"3","16","19","0","0","2","2","0","2","0","0"
"3","16","20","0","0","2","2","0","2","0","0"
"3","16","21","0","0","1","2","0","1","0","0"
"3","16","22","0","0","1","2","0","1","0","0"
"3","16","23","0","0","0","2","0","0","0","0"
"3","17","0","0","0","0","2","0","0","0","0"
"3","17","1","0","0","0","2","0","0","0","0"
"3","17","2","0","0","0","2","0","0","0","0"
"3","17","3","0","0","0","2","0","0","0","0"
